FA1,GGBS,SF,MK,FA2,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
104.5,703.0,0.0,0.0,1108.0,0.0,14.0,133.0,199.5,266.0,0.0,0.0,0.0,0.0,28.0,20,86.0
104.5,703.0,0.0,0.0,1108.0,0.0,14.0,133.0,199.5,266.0,0.05,0.04,12.0,208.0,28.0,20,89.0
104.5,703.0,0.0,0.0,1108.0,0.0,14.0,133.0,199.5,266.0,0.1,0.04,12.0,208.0,28.0,20,92.0
104.5,703.0,0.0,0.0,1108.0,0.0,14.0,133.0,199.5,266.0,0.15,0.04,12.0,208.0,28.0,20,96.0
104.5,703.0,0.0,0.0,1108.0,0.0,14.0,133.0,199.5,266.0,0.2,0.04,12.0,208.0,28.0,20,95.0
104.5,703.0,0.0,0.0,1108.0,0.0,14.0,133.0,199.5,266.0,0.25,0.04,12.0,208.0,28.0,20,93.0
104.5,703.0,0.0,0.0,1108.0,0.0,14.0,133.0,199.5,266.0,0.3,0.04,12.0,208.0,28.0,20,90.0
240.0,160.0,0.0,0.0,630.0,1100.0,14.0,69.0,172.0,0.0,0.0,0.0,0.0,0.0,28.0,20,50.0
240.0,160.0,0.0,0.0,630.0,1100.0,14.0,69.0,172.0,0.0,0.0,0.0,0.0,0.0,28.0,20,55.0
420.0,0.0,0.0,0.0,630.0,945.0,14.0,25.5,163.5,128.5,0.0,0.0,0.0,0.0,28.0,20,43.0
113.0,315.0,0.0,0.0,776.0,1460.0,14.0,22.6,121.0,0.0,0.025,0.2,13.0,208.0,28.0,20,51.21
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,28.0,20,48.9
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,28.0,20,54.3
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,28.0,20,50.4
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,28.0,20,48.8
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.5,0.55,35.0,210.0,28.0,20,59.5
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.5,0.55,35.0,210.0,28.0,20,64.2
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.5,0.55,35.0,210.0,28.0,20,57.6
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,0.5,0.55,35.0,210.0,28.0,20,56.0
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,1.0,0.55,35.0,210.0,28.0,20,60.6
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,1.0,0.55,35.0,210.0,28.0,20,66.1
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,1.0,0.55,35.0,210.0,28.0,20,59.2
400.0,0.0,0.0,0.0,0.0,1050.0,14.0,120.0,120.0,0.0,1.0,0.55,35.0,210.0,28.0,20,57.9
280.0,120.0,0.0,0.0,650.0,1220.0,14.0,51.0,129.0,0.0,0.0,0.0,0.0,0.0,28.0,20,53.9
280.0,120.0,0.0,0.0,650.0,1220.0,14.0,51.0,129.0,0.0,1.0,0.65,35.0,50.0,28.0,20,56.1
280.0,120.0,0.0,0.0,650.0,1220.0,14.0,51.0,129.0,0.0,2.0,0.65,35.0,50.0,28.0,20,46.6
280.0,120.0,0.0,0.0,650.0,1220.0,14.0,51.0,129.0,0.0,1.0,0.65,20.0,50.0,28.0,20,50.5
280.0,120.0,0.0,0.0,650.0,1220.0,14.0,51.0,129.0,0.0,1.0,0.65,50.0,50.0,28.0,20,41.3
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,0.0,0.0,0.0,0.0,7.0,20,39.1
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,0.5,0.3,13.0,205.0,7.0,20,40.5
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,1.0,0.3,13.0,205.0,7.0,20,42.6
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,28.6,194.0,0.0,1.0,0.3,13.0,205.0,7.0,20,34.1
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,31.5,214.0,0.0,1.0,0.3,13.0,205.0,7.0,20,30.2
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,1.5,0.3,13.0,205.0,7.0,20,43.5
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,2.0,0.3,13.0,205.0,7.0,20,45.1
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,0.0,0.0,0.0,0.0,28.0,20,47.7
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,0.5,0.3,13.0,205.0,28.0,20,50.1
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,1.0,0.3,13.0,205.0,28.0,20,52.4
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,28.6,194.0,0.0,1.0,0.3,13.0,205.0,28.0,20,42.3
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,31.5,214.0,0.0,1.0,0.3,13.0,205.0,28.0,20,37.4
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,1.5,0.3,13.0,205.0,28.0,20,54.3
444.4,111.1,0.0,0.0,674.1,1243.0,14.0,25.8,175.0,0.0,2.0,0.3,13.0,205.0,28.0,20,56.4
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.0,0.0,0.0,0.0,7.0,20,43.4
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,6.0,86.1,7.0,20,45.0
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,6.0,86.1,7.0,20,46.5
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,6.0,86.1,7.0,20,44.3
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,12.0,86.1,7.0,20,44.7
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,12.0,86.1,7.0,20,47.1
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,12.0,86.1,7.0,20,44.6
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,18.0,86.1,7.0,20,43.6
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,18.0,86.1,7.0,20,42.7
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,18.0,86.1,7.0,20,40.2
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.0,0.0,0.0,0.0,3.0,20,37.1
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,6.0,86.1,3.0,20,38.7
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,6.0,86.1,3.0,20,39.6
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,6.0,86.1,3.0,20,37.9
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,12.0,86.1,3.0,20,38.4
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,12.0,86.1,3.0,20,40.3
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,12.0,86.1,3.0,20,38.1
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,18.0,86.1,3.0,20,37.3
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,18.0,86.1,3.0,20,36.2
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,18.0,86.1,3.0,20,34.2
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.0,0.0,0.0,0.0,28.0,20,52.3
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,6.0,86.1,28.0,20,54.73
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,6.0,86.1,28.0,20,56.23
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,6.0,86.1,28.0,20,53.67
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,12.0,86.1,28.0,20,54.41
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,12.0,86.1,28.0,20,57.02
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,12.0,86.1,28.0,20,54.14
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.3,0.017,18.0,86.1,28.0,20,52.67
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.6,0.017,18.0,86.1,28.0,20,51.43
66.0,352.0,22.0,0.0,658.0,985.0,14.0,18.78,35.13,0.0,0.9,0.017,18.0,86.1,28.0,20,48.63
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.0,0.0,0.0,0.0,28.0,20,53.0
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.5,0.55,35.0,210.0,28.0,20,52.4
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.5,0.55,35.0,210.0,28.0,20,52.4
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,0.5,0.3,48.0,10.0,28.0,20,50.0
340.0,60.0,0.0,0.0,610.0,1100.0,12.0,69.0,172.0,0.0,1.0,0.3,48.0,10.0,28.0,20,51.1
