FA1,GGBS,SF,MK,FA2,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
421.542,271.743,47.429,117.65,536.494,560.185,12.889,178.931,248.425,30.413,0.009,0.067,1.626,0.0,18.066,21.265,53.242
453.187,88.488,0.0,28.559,549.943,1039.62,12.239,90.065,166.283,5.334,0.081,0.017,2.1,0.0,41.403,24.466,42.035
341.719,156.249,0.0,28.343,950.861,1045.117,11.424,68.057,175.09,0.0,0.0,0.074,0.0,0.0,134.636,24.538,60.385
417.16,121.176,0.0,0.0,375.833,1108.256,16.301,97.009,179.994,0.0,0.005,0.0,1.44,0.0,58.379,21.395,52.686
589.172,26.261,0.0,28.139,629.23,942.258,15.767,90.181,186.95,3.35,0.0,0.0,1.206,0.0,44.868,22.875,39.517
432.524,87.271,7.232,17.151,715.907,1107.626,14.705,83.963,193.603,0.0,0.001,0.0,0.599,0.0,59.11,22.183,40.948
386.075,125.084,0.0,24.742,1042.266,632.107,11.543,81.923,204.998,0.0,0.149,0.0,1.475,3.431,75.621,23.512,51.152
130.047,125.277,1.795,358.961,467.738,795.437,13.691,139.028,222.392,21.936,0.0,0.222,0.0,0.0,12.935,21.798,39.612
546.923,415.966,17.91,39.09,180.432,1110.682,12.889,171.529,350.12,17.22,1.191,0.483,38.423,231.396,19.811,20.51,87.578
350.873,121.872,0.0,10.761,902.973,671.959,12.671,90.726,196.778,3.572,0.167,0.0,1.703,0.0,43.317,22.669,42.043
413.138,153.078,0.0,1.975,946.626,605.621,7.093,73.665,112.197,54.196,0.0,0.015,0.0,0.0,0.205,25.332,22.644
550.845,86.133,4.171,13.01,597.986,846.973,14.842,82.035,162.719,42.734,0.0,0.145,0.855,0.0,34.345,23.237,37.531
378.329,215.152,0.689,0.0,792.165,738.354,9.833,126.9,237.249,62.216,0.281,0.015,14.079,86.737,4.728,22.097,36.253
724.756,513.525,114.054,0.0,263.524,703.891,9.948,228.033,411.854,79.218,0.79,0.178,24.295,134.143,27.84,19.673,77.937
