FA,GGBS,SF,MK,FA.1,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
442.95,111.173,0.0,0.0,517.277,1242.576,12.14,85.842,163.669,3.754,0.153,0.0,2.401,0.0,67.331,23.247,45.731
330.351,109.421,6.719,7.604,464.636,1119.01,14.904,96.854,165.52,4.392,0.032,0.221,2.191,0.0,33.058,20.841,46.691
457.79,93.366,0.0,0.0,1222.608,279.686,12.354,94.506,223.584,0.0,0.372,0.0,0.907,0.0,0.0,21.938,26.277
362.208,171.097,0.0,0.0,601.766,1226.725,5.343,94.352,164.942,0.0,0.0,0.396,12.322,41.354,19.978,18.922,39.439
314.012,154.597,0.859,55.656,499.124,781.261,13.11,112.409,174.536,9.78,0.025,0.0,1.099,0.0,0.0,22.463,34.305
304.782,267.17,13.115,47.036,769.244,546.809,12.335,102.688,213.975,14.295,0.264,0.0,1.713,2.457,31.946,23.215,53.246
362.817,89.326,0.0,22.035,652.883,1357.185,10.027,75.909,150.538,0.0,0.0,0.0,0.191,0.0,83.872,21.984,45.98
354.499,156.686,0.0,14.69,517.277,972.363,14.067,79.743,160.307,28.819,0.0,0.0,0.659,0.0,59.176,24.363,45.18
266.013,253.736,0.0,0.0,580.832,1173.36,12.994,95.33,177.778,0.0,0.095,0.0,3.682,9.091,69.379,21.366,56.495
942.579,740.367,103.218,284.168,70.112,0.0,9.509,384.691,713.028,13.198,1.642,1.21,18.43,50.701,41.016,20.77,125.845
466.443,64.297,8.656,14.659,737.07,1010.368,14.832,83.298,209.396,0.0,0.007,0.0,0.828,0.0,38.345,21.64,40.293
453.314,164.371,0.0,16.755,1176.312,251.675,11.703,102.2,234.89,0.0,0.409,0.0,1.587,0.0,21.848,23.382,36.625
401.589,303.139,23.329,44.365,1114.819,0.0,13.927,100.059,255.954,98.69,0.497,0.0,0.32,0.0,46.097,22.219,56.068
473.163,235.443,21.392,0.0,1210.255,34.214,12.03,80.846,196.289,178.495,0.216,0.0,0.0,0.946,15.449,24.076,32.319
417.926,131.676,0.456,0.0,1130.614,393.837,12.257,96.4,230.619,0.0,0.333,0.1,1.54,0.0,15.251,21.53,35.496
529.759,99.284,11.915,0.0,564.127,974.615,14.677,96.629,127.438,76.182,0.0,0.0,0.0,0.0,7.244,25.555,30.273
354.863,153.527,8.928,20.202,778.634,590.936,12.25,101.186,217.036,38.015,0.251,0.0,9.057,64.42,33.989,21.223,39.301
